,영화명,감독,배급사,개봉일,국적,스크린수,매출액,관객수,장르,등급,연도
8471,임베디드,스티븐 스웰,(주)시네마리퍼블릭,2017.2.13,호주,1,2000,1,스릴러,청소년관람불가,2017
8472,지하실,조셉 와트너체니,(주)티에스앤컴퍼니,2017.2.13,미국,1,8000,1,스릴러,청소년관람불가,2017
8473,가족의 재구성,최재후,조박픽쳐스,2017.2.14,한국,20,842000,165,멜로/로맨스,청소년관람불가,2017
8474,친구부부 : 욕망의 스와핑,이상우,(주)영화사 사계절,2017.2.14,한국,20,655000,125,멜로/로맨스,청소년관람불가,2017
8475,"그래, 가족",마대윤,월트디즈니컴퍼니코리아 유한책임회사,2017.2.15,한국,361,350293300,"46,623",코미디,12세이상관람가,2017
8476,그레이트 월,장예모,유니버설픽쳐스인터내셔널 코리아(유),2017.2.15,미국,598,4352841358,"501,286",판타지,12세이상관람가,2017
8477,더 큐어,고어 버빈스키,이십세기폭스코리아(주),2017.2.15,미국,419,1331883200,"159,948",미스터리,청소년관람불가,2017
8478,맨체스터 바이 더 씨,케네스 로너건,THE 픽쳐스,2017.2.15,미국,109,431623800,"53,779",드라마,15세이상관람가,2017
8479,재심,김태윤,"오퍼스픽쳐스(유),CGV아트하우스",2017.2.15,한국,935,19263100637,"2,420,729",드라마,15세이상관람가,2017
8480,헤픈젤: 비밀의 몸캠,마의성,노바엔터테인먼트,2017.2.15,한국,20,805000,159,멜로/로맨스,청소년관람불가,2017
8481,금빛 모자이크 프리티 데이즈,다나카 모토키,(주)퍼스트런,2017.2.16,일본,80,34265500,"4,709",애니메이션,전체관람가,2017
8482,긴자처녀경매-야광화,코시자카 야스시,(주)도키엔터테인먼트,2017.2.16,일본,1,8000,1,성인물(에로),청소년관람불가,2017
8483,내 남편의 가정교사 - 무삭제,박선욱,스마일컨텐츠,2017.2.16,한국,1,2000,1,멜로/로맨스,청소년관람불가,2017
8484,데블스 윙즈,대니얼 콜롬비,(주)시네마리퍼블릭,2017.2.16,미국,1,3000,1,액션,청소년관람불가,2017
8485,런던 타운,데릭 보트,레인메이커필름,2017.2.16,미국,15,2425400,423,드라마,15세이상관람가,2017
8486,마이펫 오지,알베르토 로드리게즈,롯데쇼핑㈜롯데엔터테인먼트,2017.2.16,스페인,393,911866950,"124,112",애니메이션,전체관람가,2017
8487,새엄마 엿보기 - 흔들리는 가슴과 허리,소리마치 루이,(주)도키엔터테인먼트,2017.2.16,일본,1,8000,1,성인물(에로),청소년관람불가,2017
8488,아주 긴 변명,니시카와 미와,(주)영화사 진진,2017.2.16,일본,49,67454200,"8,974",드라마,15세이상관람가,2017
8489,야한 목소리-쏠리네,이두희,(주)콘텐츠윙,2017.2.16,한국,1,2000,1,멜로/로맨스,청소년관람불가,2017
8490,첩보원: 독일군 잠입작전,리처드 홀름,(주)소나무픽쳐스,2017.2.16,스웨덴,5,388000,76,액션,15세이상관람가,2017
8491,트롤,"마이크 미첼,월트 도른",(주)씨제이이엔엠,2017.2.16,미국,622,5011161500,"675,966",애니메이션,전체관람가,2017
8492,바이킹 레거시,"빅터 마워,톰 바커",주식회사 풍경소리,2017.2.20,영국,1,2000,1,액션,15세이상관람가,2017
8493,엄마친구2 무삭제,김대성,(주)영화사히트,2017.2.20,한국,1,5000,1,드라마,청소년관람불가,2017
8494,딸의 친구 - 무삭제판,최우성,(주)컨텐츠 빌리지,2017.2.21,한국,20,841000,165,멜로/로맨스,청소년관람불가,2017
8495,여직원들 : 직장연애사 무삭제판,명석환,(주)영화사 사계절,2017.2.21,한국,1,5000,1,멜로/로맨스,청소년관람불가,2017
8496,착한 자매: 남편 교환의 날,기타노 헤지메,(주)소나무픽쳐스,2017.2.21,일본,1,270000,54,멜로/로맨스,청소년관람불가,2017
8497,19금 섹스비디오,박범수,(주)케이알씨지,2017.2.21,한국,1,5000,1,멜로/로맨스,청소년관람불가,2017
8498,극장판 빰바라빤쮸: 바나나 왕국의 비밀,벤피 네코,(주)스마일이엔티,2017.2.22,일본,140,76934800,"10,681",애니메이션,전체관람가,2017
8499,내 여자의 엄마,석영오,(주)소나무픽쳐스,2017.2.22,한국,19,758000,149,멜로/로맨스,청소년관람불가,2017
8500,단발머리,오자키 히로코우지,(주)플라이어,2017.2.22,일본,1,8000,1,드라마,청소년관람불가,2017
8501,더 소노 시온: 소노 시온이라는 생물,오시마 아라타,제인앤유,2017.2.22,일본,5,124000,32,다큐멘터리,12세이상관람가,2017
8502,레이디버그,장성,(주)삼지애니메이션,2017.2.22,한국,172,310291500,"41,041",애니메이션,전체관람가,2017
8503,루시드 드림,김준성,(주)넥스트엔터테인먼트월드(NEW),2017.2.22,한국,461,759481000,"102,170",SF,15세이상관람가,2017
8504,문라이트,배리 젠킨스,CGV아트하우스,2017.2.22,미국,173,1403639195,"177,483",드라마,15세이상관람가,2017
8505,미인어,주성치,(주)라이크콘텐츠,2017.2.22,중국,69,31631200,"4,270",판타지,12세이상관람가,2017
8506,싱글라이더,이주영,워너브러더스 코리아(주),2017.2.22,한국,576,2685519021,"351,276",드라마,15세이상관람가,2017
8507,옆집새댁,나카메구로 코우지,(주)플라이어,2017.2.22,일본,1,8000,1,드라마,청소년관람불가,2017
8508,용을 찾아서,호승충,(주)머스트씨무비릴리징컴퍼니,2017.2.22,중국,60,63201800,"8,638",애니메이션,전체관람가,2017
8509,존 윅 - 리로드,채드 스타헬스키,(주)제이앤씨미디어그룹,2017.2.22,미국,250,2205582600,"276,379",액션,청소년관람불가,2017
8510,핵소 고지,멜 깁슨,판씨네마(주),2017.2.22,미국,442,1342081900,"177,601",드라마,15세이상관람가,2017
8511,23 아이덴티티,M. 나이트 샤말란,유니버설픽쳐스인터내셔널 코리아(유),2017.2.22,미국,952,13609456135,"1,675,798",스릴러,15세이상관람가,2017
8512,극장판 소드 아트 온라인 -오디널 스케일-,이토 토모히코,(주)박수엔터테인먼트,2017.2.23,일본,124,897598000,"117,401",애니메이션,12세이상관람가,2017
8513,내 동생의 여자친구,김민식,(주)영화사가을,2017.2.23,한국,1,5000,1,멜로/로맨스,청소년관람불가,2017
8514,도성풍운 2,왕정,(주)드림팩트엔터테인먼트,2017.2.23,홍콩,5,191000,52,액션,15세이상관람가,2017
8515,샤룩칸의 팬,마니쉬 사르마,주식회사 씨엠닉스,2017.2.23,인도,3,386000,109,액션,15세이상관람가,2017
8516,선배의 여자친구 무삭제,김정오,(주)영화사가을,2017.2.23,한국,1,5000,1,멜로/로맨스,청소년관람불가,2017
8517,실종 : 택시 납치 사건,임대웅,(주)케이알씨지,2017.2.23,중국,5,181000,62,범죄,15세이상관람가,2017
8518,안해,이강림,(주)콘텐츠윙,2017.2.23,한국,20,845000,165,드라마,청소년관람불가,2017
8519,임페리엄,다니엘 래거시스,THE 픽쳐스,2017.2.23,미국,4,202000,70,범죄,청소년관람불가,2017
8520,중년 부부의 섹스 교육,사노 카즈히로,(주)버킷스튜디오,2017.2.23,일본,1,5000,2,성인물(에로),청소년관람불가,2017
8521,천하제일검,장뢰,(주)소나무픽쳐스,2017.2.23,중국,5,388000,76,액션,12세이상관람가,2017
8522,친구아빠 무삭제,김정오,(주)영화사가을,2017.2.23,한국,1,5000,1,멜로/로맨스,청소년관람불가,2017
8523,탐정사무소-그놈의 얼굴 무삭제판,이동현,(주)나우콘텐츠,2017.2.24,한국,1,8000,1,스릴러,청소년관람불가,2017
8524,깊은 사정,이마오카 신지,(유)쏘아필름,2017.2.27,한국,20,805000,159,멜로/로맨스,청소년관람불가,2017
8525,마영정: 상해야인시대,황정보,즐감,2017.2.27,중국,5,127000,46,액션,15세이상관람가,2017
8526,"구름의 저편, 약속의 장소",신카이 마코토,"(주)미디어캐슬,(주)삼지애니메이션",2017.2.28,일본,123,29747400,"4,105",애니메이션,12세이상관람가,2017
8527,글래디에이터: 더 토너먼트,스테파노 밀라,(주)소나무픽쳐스,2017.2.28,미국,1,5000,1,액션,15세이상관람가,2017
8528,사일런스,마틴 스코세이지,(주)키다리이엔티,2017.2.28,미국,342,700818300,"94,750",드라마,15세이상관람가,2017
8529,시티 워: 익스트림 킬러,크리스찬 세스마,노바엔터테인먼트,2017.2.28,미국,50,5534000,"1,097",액션,청소년관람불가,2017
8530,완숙 엄마: 아버지의 여자,기타노 헤지메,(주)소나무픽쳐스,2017.2.28,일본,1,5000,1,멜로/로맨스,청소년관람불가,2017
8531,눈길,이나정,"(주)엣나인필름,CGV아트하우스",2017.3.1,한국,495,947059100,"126,443",드라마,15세이상관람가,2017
8532,눈발,조재민,(주)리틀빅픽쳐스,2017.3.1,한국,69,84806300,"10,039",드라마,15세이상관람가,2017
8533,당일치기 온천여행,오우치 아이리,(주)도키엔터테인먼트,2017.3.1,일본,1,8000,1,멜로/로맨스,청소년관람불가,2017
8534,러빙,제프 니콜스,유니버설픽쳐스인터내셔널 코리아(유),2017.3.1,미국,149,69449100,"9,121",드라마,12세이상관람가,2017
8535,로건,제임스 맨골드,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)",2017.3.1,미국,954,17590962723,"2,070,084",액션,청소년관람불가,2017
8536,매직키드 보보,니잠 라작,(주)박수엔터테인먼트,2017.3.1,말레이시아,219,119693200,"15,968",애니메이션,전체관람가,2017
8537,아이히만 쇼,폴 앤드류 윌리엄스,(주)디스테이션,2017.3.1,영국,21,16279000,"2,133",드라마,15세이상관람가,2017
8538,여사원과 러브호텔,후지타 켄지,(주)도키엔터테인먼트,2017.3.1,일본,1,8000,1,멜로/로맨스,청소년관람불가,2017
8539,유부녀 육즙의 파티,하마노 사치,(주)도키엔터테인먼트,2017.3.1,일본,1,8000,1,멜로/로맨스,청소년관람불가,2017
8540,이자카야 모녀 스와핑,후지타 타츠로,(주)도키엔터테인먼트,2017.3.1,일본,1,8000,1,멜로/로맨스,청소년관람불가,2017
8541,커피 메이트,이현하,(주)스톰픽쳐스코리아,2017.3.1,한국,99,43287000,"5,361",멜로/로맨스,청소년관람불가,2017
8542,해빙,이수연,롯데쇼핑㈜롯데엔터테인먼트,2017.3.1,한국,915,9879737822,"1,201,576",스릴러,15세이상관람가,2017
8543,해주는 미인 미용사,오우치 아이리,(주)도키엔터테인먼트,2017.3.1,일본,1,8000,1,멜로/로맨스,청소년관람불가,2017
8544,귀여운 형수님 - 제부,테이 쟈가,(주)도키엔터테인먼트,2017.3.2,일본,1,8000,1,성인물(에로),청소년관람불가,2017
8545,남편에겐 절대 비밀,테이 쟈가,(주)도키엔터테인먼트,2017.3.2,일본,1,8000,1,성인물(에로),청소년관람불가,2017
8546,녹화중이야,박민국,"노가리필름,(주)인디플러그",2017.3.2,한국,6,2284500,311,멜로/로맨스,15세이상관람가,2017
8547,더블유엠디: 대량살상무기,리차드 핼펀,(주)시네마리퍼블릭,2017.3.2,미국,1,2000,1,전쟁,청소년관람불가,2017
8548,도촬 생중계 보기,타나카 야스후미,(주)도키엔터테인먼트,2017.3.2,일본,1,8000,1,성인물(에로),청소년관람불가,2017
8549,레드 스카이,마리오 반 피블스,(주)케이알씨지,2017.3.2,미국,2,7000,2,액션,12세이상관람가,2017
8550,아메리칸 초밥왕,안소니 루세로,THE 픽쳐스,2017.3.2,미국,5,154000,49,드라마,전체관람가,2017
8551,육체 해결사 - 특무과,쿠니사와 미노루,(주)도키엔터테인먼트,2017.3.2,일본,1,8000,1,성인물(에로),청소년관람불가,2017
8552,주택집 처녀의 젖어 드는 하숙집,아라키 타로,(주)도키엔터테인먼트,2017.3.2,일본,1,8000,1,성인물(에로),청소년관람불가,2017
8553,천녀유혹 - 꿈같은 밤,카토 요시카즈,(주)도키엔터테인먼트,2017.3.2,일본,1,8000,1,성인물(에로),청소년관람불가,2017
8554,바람난 부부: 같은 아파트 주민,나가에 타카미,(주)영진크리에이티브,2017.3.3,일본,1,5000,1,멜로/로맨스,청소년관람불가,2017
8555,부정한 아내들,나가에 타카미,(주)영진크리에이티브,2017.3.3,일본,1,5000,1,멜로/로맨스,청소년관람불가,2017
8556,아내의 음란한 사생활,나가에 타카미,(주)영진크리에이티브,2017.3.3,일본,1,5000,1,멜로/로맨스,청소년관람불가,2017
8557,아내의 음란한 정사,마사키 아이죠,(주)영진크리에이티브,2017.3.3,일본,1,5000,1,멜로/로맨스,청소년관람불가,2017
8558,이웃집 여자의 신음,모리 히데토라,(주)영진크리에이티브,2017.3.3,일본,1,5000,1,멜로/로맨스,청소년관람불가,2017
8559,포에트리 브로셀,에리카 러스트,(주)티앤엘엔터테인먼트,2017.3.3,스페인,5,317000,107,멜로/로맨스,청소년관람불가,2017
8560,이룰 수 없는 사랑,로베르 르파주,(주) 인스터 글로벌,2017.3.4,미국,7,15514500,706,공연,전체관람가,2017
8561,나는 사랑과 시간과 죽음을 만났다,데이빗 프랭클,워너브러더스 코리아(주),2017.3.5,미국,1,380000,76,드라마,12세이상관람가,2017
8562,어린 형수 2 - 무삭제판,김태수,너바나 필름,2017.3.7,한국,20,839000,165,멜로/로맨스,청소년관람불가,2017
8563,특이점이 온 영화,공자관,밀크픽처스,2017.3.7,한국,20,839000,165,코미디,청소년관람불가,2017
8564,19금 특별한 정사 무삭제 특별판,닥터 필,(주)케이알씨지,2017.3.7,한국,1,20000,4,멜로/로맨스,청소년관람불가,2017
8565,스캔들 II,이동현,(주)케이알씨지,2017.3.8,한국,20,671000,136,드라마,청소년관람불가,2017
8566,슬립리스: 크리미널 나이트,바란 보 오다르,(주)미디어로그,2017.3.8,미국,158,146025800,"18,740",액션,15세이상관람가,2017
8567,신 고질라,"안노 히데아키,히구치 신지",메가박스중앙(주)플러스엠,2017.3.8,일본,156,53050000,"7,098",SF,12세이상관람가,2017
8568,콩: 스컬 아일랜드,조던 복트-로버츠,워너브러더스 코리아(주),2017.3.8,미국,984,13951644383,"1,685,933",액션,12세이상관람가,2017
8569,파도가 지나간 자리,데릭 시엔프랜스,CGV아트하우스,2017.3.8,미국,276,634595200,"82,177",드라마,15세이상관람가,2017
8570,거유정사 실험실,야마자키 쿠니토시,(주)도키엔터테인먼트,2017.3.9,일본,1,8000,1,성인물(에로),청소년관람불가,2017
8571,걸 온 더 트레인,테이트 테일러,(주)씨제이이엔엠,2017.3.9,미국,331,215124500,"27,840",드라마,청소년관람불가,2017
8572,검객풍운,장뢰,(주)소나무픽쳐스,2017.3.9,중국,5,388000,76,액션,15세이상관람가,2017
8573,극강쾌락 여인천하,테이 쟈가,(주)도키엔터테인먼트,2017.3.9,일본,1,8000,1,성인물(에로),청소년관람불가,2017
8574,내 이름은 꾸제트,클로드 바라스,(주)스마일이엔티,2017.3.9,프랑스,232,70448100,"9,644",애니메이션,전체관람가,2017
8575,드래곤 워,제프 레이즈너,주식회사 루믹스미디어,2017.3.9,미국,1,300000,60,액션,15세이상관람가,2017
8576,쇼콜라,로쉬디 젬,판씨네마(주),2017.3.9,프랑스,52,20408000,"2,757",드라마,12세이상관람가,2017
8577,아내의 동창회,이리단,(주)영화사 사계절,2017.3.9,한국,20,653000,125,멜로/로맨스,청소년관람불가,2017
8578,아티스트: 다시 태어나다,김경원,(주)콘텐츠판다,2017.3.9,한국,119,42058800,"5,579",드라마,15세이상관람가,2017
8579,육덕 도우미를 노리는 손길,타니자키 오사무,(주)도키엔터테인먼트,2017.3.9,일본,1,8000,1,성인물(에로),청소년관람불가,2017
8580,절벽 위의 트럼펫,한상희,투썸업픽쳐스,2017.3.9,일본,11,5411300,711,판타지,전체관람가,2017
8581,쥬라기 파크: 아마존 어드벤쳐,아담 스핑크스,(주)케이알씨지,2017.3.9,미국,5,302000,68,어드벤처,15세이상관람가,2017
8582,착한 엄마들: 서로의 아들에게 여자가 되던 날,기타노 헤지메,(주)소나무픽쳐스,2017.3.9,일본,1,5000,1,멜로/로맨스,청소년관람불가,2017
8583,파워캐치 완다: 버그본의 지구 습격,하시모토 미츠오,"(주)에이원엔터테인먼트,(주)삼지애니메이션",2017.3.9,일본,178,86394400,"10,881",애니메이션,전체관람가,2017
8584,하얀 여관주인의 피부,타니자키 오사무,(주)도키엔터테인먼트,2017.3.9,일본,1,8000,1,성인물(에로),청소년관람불가,2017
8585,폴터가이스트 액티비티,앤드류 존스,(주)피터팬픽쳐스,2017.3.10,영국,1,7000,1,공포(호러),청소년관람불가,2017
8586,붉은 거북,미카엘 두독 드 비트,유니버설픽쳐스인터내셔널 코리아(유),2017.3.11,프랑스,17,6172500,716,애니메이션,전체관람가,2017
8587,색정유령펜션,사토 오사무,(주)아이브픽쳐스,2017.3.14,일본,1,7000,1,멜로/로맨스,청소년관람불가,2017
8588,쉘터,존 팰론,(주)티에스앤컴퍼니,2017.3.14,캐나다,1,8000,1,드라마,15세이상관람가,2017
8589,청불학원,최무연,(주)로드하우스,2017.3.14,한국,1,270000,54,멜로/로맨스,청소년관람불가,2017
8590,퍼펙트 크라임,오우사 쿤,(주)시네마리퍼블릭,2017.3.14,미국,1,3000,1,액션,15세이상관람가,2017
8591,부부교환: 서로의 아내를 탐하다,스즈키 마사하루,(주)소나무픽쳐스,2017.3.15,일본,1,5000,1,멜로/로맨스,청소년관람불가,2017
8592,비전스,케빈 그루터트,(주)누리픽쳐스,2017.3.15,미국,1,8000,1,공포(호러),청소년관람불가,2017
8593,젊은 며느리: 시아버지의 유혹에 빠지다,카와카미 유우,(주)소나무픽쳐스,2017.3.15,일본,1,5000,1,멜로/로맨스,청소년관람불가,2017
8594,남편보다 불륜이 좋아,하세가와 카츠유키,(주)도키엔터테인먼트,2017.3.16,일본,1,8000,1,성인물(에로),청소년관람불가,2017
8595,미녀와 야수,빌 콘돈,월트디즈니컴퍼니코리아 유한책임회사,2017.3.16,미국,"1,627",42130589579,"5,137,993",멜로/로맨스,전체관람가,2017
8596,블리드 포 디스,벤 영거,(주)리틀빅픽쳐스,2017.3.16,미국,167,68551300,"8,655",드라마,15세이상관람가,2017
8597,비정규직 특수요원,김덕수,"(주)이수C&E,(주)스톰픽쳐스코리아",2017.3.16,한국,497,1150732700,"149,719",코미디,15세이상관람가,2017
8598,새엄마의 고민해결,인다 라나,(주)도키엔터테인먼트,2017.3.16,일본,1,8000,1,성인물(에로),청소년관람불가,2017
8599,스페이스 비트윈 어스,피터 첼섬,(주)키다리이엔티,2017.3.16,미국,370,213149361,"27,847",어드벤처,12세이상관람가,2017
8600,어폴로지,티파니 슝,(주)영화사 그램,2017.3.16,캐나다,55,62987700,"9,314",다큐멘터리,12세이상관람가,2017
8601,오버 더 펜스,야마시타 노부히로,주식회사 씨네룩스,2017.3.16,일본,72,79884850,"10,103",드라마,15세이상관람가,2017
8602,왕을 참하라,김재수,(주)박수엔터테인먼트,2017.3.16,한국,54,32469800,"4,237",드라마,청소년관람불가,2017
8603,음란 온천정사,오가와 테츠야,(주)도키엔터테인먼트,2017.3.16,일본,1,8000,1,성인물(에로),청소년관람불가,2017
8604,젖은 속옷에 비친 가슴,타케호라 테츠야,(주)도키엔터테인먼트,2017.3.16,일본,1,8000,1,성인물(에로),청소년관람불가,2017
8605,천하무림불패,유신의,(주)케이알씨지,2017.3.16,중국,5,186000,68,드라마,12세이상관람가,2017
8606,토니 에드만,마렌 아데,그린나래미디어(주),2017.3.16,독일,64,109972800,"13,677",드라마,청소년관람불가,2017
8607,파이널 임팩트,제이슨 부케,주식회사 루믹스미디어,2017.3.16,캐나다,1,300000,60,액션,15세이상관람가,2017
8608,판타스틱 피어,"크리스피언 밀스,크리스 호프웰",노바엔터테인먼트,2017.3.16,영국,5,720000,101,코미디,청소년관람불가,2017
8609,패트와 매트: 뚝딱뚝딱 대소동,마렉 베네슈,(주)팝엔터테인먼트,2017.3.16,체코,116,52792500,"7,383",애니메이션,전체관람가,2017
8610,형님 아내 2 - 사모님과 경호원 - 감독판,이돌,이돌영화사,2017.3.16,한국,1,5000,1,멜로/로맨스,청소년관람불가,2017
8611,남편 앞에서 당하는 아내,S.세타니,(주)영진크리에이티브,2017.3.17,일본,1,5000,1,멜로/로맨스,청소년관람불가,2017
8612,사랑에 빠진 여자,토마스 바실레프스키,주식회사 풍경소리,2017.3.17,폴란드,1,3000,1,멜로/로맨스,청소년관람불가,2017
8613,아내의 강제섹스,시마무라 유키히코,(주)영진크리에이티브,2017.3.17,일본,1,5000,1,멜로/로맨스,청소년관람불가,2017
8614,아내의 동창회: 원나잇 섹스,네지메 지로,(주)영진크리에이티브,2017.3.17,일본,1,5000,1,멜로/로맨스,청소년관람불가,2017
8615,밀회: 아내의 비밀섹스,나쿠루 하라다,(주)영진크리에이티브,2017.3.18,일본,1,5000,1,멜로/로맨스,청소년관람불가,2017
8616,밀회: 아내의 비밀섹스 2,나쿠루 하라다,(주)영진크리에이티브,2017.3.18,일본,1,5000,1,멜로/로맨스,청소년관람불가,2017
8617,옆집소녀,박선욱,스마일컨텐츠,2017.3.21,한국,17,599000,117,멜로/로맨스,청소년관람불가,2017
8618,골드,스티븐 개건,CGV아트하우스,2017.3.22,미국,200,195197900,"25,595",드라마,15세이상관람가,2017
8619,너무 밝히는 사모님,후카마치 츠요시,(주)아이브픽쳐스,2017.3.22,일본,1,7000,1,성인물(에로),청소년관람불가,2017
8620,더 건맨 : 테이큰 감독 뉴프로젝트,피에르 모렐,(유)조이앤컨텐츠그룹,2017.3.22,프랑스,5,92000,34,액션,15세이상관람가,2017
8621,만담강호,오인용,㈜인디스토리,2017.3.22,한국,13,9597000,"1,211",애니메이션,청소년관람불가,2017
8622,스페니쉬 어페어,에밀리오 마르티네즈 라자로,(주)모멘텀엔터테인먼트,2017.3.22,스페인,1,6000,1,코미디,15세이상관람가,2017
8623,아우토반,에란 크리비,와이드 릴리즈(주),2017.3.22,영국,153,183393500,"23,306",액션,15세이상관람가,2017
8624,개구리왕국 2,펭 페이,예지림엔터테인먼트,2017.3.23,중국,171,99741700,"14,236",애니메이션,전체관람가,2017
8625,극장판 암살교실 : 365일의 시간,키시 세이지,(주)박수엔터테인먼트,2017.3.23,일본,98,210398500,"28,364",애니메이션,12세이상관람가,2017
8626,"나의 딸, 나의 누나",토마스 비더게인,판씨네마(주),2017.3.23,프랑스,34,11449000,"1,511",드라마,15세이상관람가,2017
8627,뒤로 부탁해요-소악마의 유혹,고토 다이스케,(주)도키엔터테인먼트,2017.3.23,일본,1,8000,1,성인물(에로),청소년관람불가,2017
8628,라면집 아줌마,시미즈 다이스케,(주)도키엔터테인먼트,2017.3.23,일본,1,8000,1,성인물(에로),청소년관람불가,2017
8629,무림지존: 천하제일검,장뢰,(주)소나무픽쳐스,2017.3.23,중국,5,388000,76,액션,15세이상관람가,2017
8630,밤의 해변에서 혼자,홍상수,"(주)영화제작전원사 ,(주)콘텐츠판다",2017.3.23,한국,133,438976092,"56,995",드라마,청소년관람불가,2017
8631,보통사람,김봉한,오퍼스픽쳐스(유),2017.3.23,한국,621,2956397623,"383,336",드라마,15세이상관람가,2017
8632,새엄마 최면술로 맘껏 즐기기,소리마치 루이,(주)도키엔터테인먼트,2017.3.23,일본,1,8000,1,성인물(에로),청소년관람불가,2017
8633,새엄마: 아버지의 여자를 탐하다 (무삭제),칸바라 이쿠토,(주)소나무픽쳐스,2017.3.23,일본,1,5000,1,멜로/로맨스,청소년관람불가,2017
8634,아기돼지 3형제와 매직램프,유위,(주)팝엔터테인먼트,2017.3.23,중국,135,208444600,"26,670",애니메이션,전체관람가,2017
8635,야한목소리-쏠리네 무삭제,이두희,THE 픽쳐스,2017.3.23,한국,20,845000,166,멜로/로맨스,청소년관람불가,2017
8636,위대한 임무,피터 스펜서,(재)CBS,2017.3.23,미국,59,53233800,"7,329",드라마,12세이상관람가,2017
8637,친구 여동생과의 정사,다케다 히데오,(주)도키엔터테인먼트,2017.3.23,일본,1,8000,1,멜로/로맨스,청소년관람불가,2017
8638,특별수사대,루치아노 세이버,(주)시네마리퍼블릭,2017.3.23,미국,1,3000,1,액션,15세이상관람가,2017
8639,프리즌,나현,(주)쇼박스,2017.3.23,한국,"1,047",23790276987,"2,931,897",범죄,청소년관람불가,2017
8640,행복 목욕탕,나카노 료타,(주)디스테이션,2017.3.23,일본,103,168599600,"21,797",가족,12세이상관람가,2017
8641,화가의 비밀 클럽,토모마츠 나오유키,(주)도키엔터테인먼트,2017.3.23,일본,1,8000,1,성인물(에로),청소년관람불가,2017
8642,히든 피겨스,데오도르 멜피,이십세기폭스코리아(주),2017.3.23,미국,448,3576079033,"448,923",드라마,12세이상관람가,2017
8643,LA 대지진,데이비드 지달리,주식회사 루믹스미디어,2017.3.23,미국,1,300000,60,액션,15세이상관람가,2017
8644,스와핑 : 친구부부의 쾌락 무삭제판,김민식,(주)영화사가을,2017.3.28,한국,1,5000,1,멜로/로맨스,청소년관람불가,2017
8645,스와핑 : 친구의 아내 무삭제판,홍성수,(주)영화사 사계절,2017.3.28,한국,1,5000,1,멜로/로맨스,청소년관람불가,2017
8646,신혼여행 : 불륜 무삭제,김정오,(주)영화사가을,2017.3.28,한국,1,5000,1,멜로/로맨스,청소년관람불가,2017
8647,아내의 불륜2 무삭제판,김민식,(주)영화사가을,2017.3.28,한국,1,5000,1,멜로/로맨스,청소년관람불가,2017
8648,원나잇스탠드,지길웅,(주)전망좋은 영화사,2017.3.28,한국,21,642000,125,스릴러,청소년관람불가,2017
8649,젊은 형수 무삭제,김정오,(주)영화사가을,2017.3.28,한국,1,5000,1,멜로/로맨스,청소년관람불가,2017
8650,호수괴물,크리스 메이저스,(주)티에스앤컴퍼니,2017.3.28,미국,1,8000,1,공포(호러),15세이상관람가,2017
8651,공각기동대 : 고스트 인 더 쉘,루퍼트 샌더스,롯데쇼핑㈜롯데엔터테인먼트,2017.3.29,미국,807,6285970884,"764,072",SF,15세이상관람가,2017
8652,데스노트: 더 뉴 월드,사토 신스케,(주)디스테이션,2017.3.29,일본,309,220886363,"28,723",범죄,15세이상관람가,2017
8653,미스 슬로운,존 매든,(주)메인타이틀픽쳐스,2017.3.29,미국,104,381394300,"48,051",드라마,15세이상관람가,2017
8654,새아빠: 엄마의 남자를 탐하다,오우카 하야토,(주)소나무픽쳐스,2017.3.29,일본,1,5000,1,멜로/로맨스,청소년관람불가,2017
8655,스캔들 III,이동현,(주)케이알씨지,2017.3.29,한국,20,649000,132,멜로/로맨스,청소년관람불가,2017
8656,완숙 엄마: 아들의 고백,스즈키 마사하루,(주)소나무픽쳐스,2017.3.29,일본,1,5000,1,멜로/로맨스,청소년관람불가,2017
8657,원라인,양경모,(주)넥스트엔터테인먼트월드(NEW),2017.3.29,한국,613,3310122433,"433,825",범죄,15세이상관람가,2017
8658,익스펜더블 에셋,티노 스트럭맨,(주)시네마리퍼블릭,2017.3.29,미국,1,5000,1,액션,15세이상관람가,2017
8659,쿵푸 요가,당계례,브릿지웍스 엔터테인먼트(주),2017.3.29,중국,108,91563500,"12,048",액션,12세이상관람가,2017
8660,폴란드1943,미셀 로갈스키,(주)다날엔터테인먼트,2017.3.29,독일,1,300000,60,드라마,15세이상관람가,2017
8661,강호의 무림신공,해도,(유)조이앤시네마,2017.3.30,중국,5,171000,62,액션,12세이상관람가,2017
8662,그곳에서만 빛난다,오미보,제인앤유,2017.3.30,일본,5,159000,41,멜로/로맨스,청소년관람불가,2017
8663,길들여 주세요,긴다이치 코고로,(주)플라이어,2017.3.30,일본,1,8000,1,드라마,청소년관람불가,2017
8664,리버 로드,리루이쥔,주식회사 골든럭,2017.3.30,중국,17,9381100,"1,388",드라마,전체관람가,2017
8665,방석집 여주인 - 남편 후배와,오자키 히로코우지,(주)플라이어,2017.3.30,일본,1,8000,1,드라마,청소년관람불가,2017
8666,분노,이상일,메가박스중앙(주)플러스엠,2017.3.30,일본,99,230315537,"28,567",스릴러,청소년관람불가,2017
8667,실제 바람피는 간통녀,긴다이치 코고로,(주)플라이어,2017.3.30,일본,1,8000,1,드라마,청소년관람불가,2017
