,영화명,감독,배급사,개봉일,국적,스크린수,매출액,관객수,장르,등급,연도
115,내 남자 친구는 왕자님,마사 쿨리지,한국소니픽쳐스릴리징브에나비스타영화㈜,2004.6.18,미국,0,0,"72,694",멜로/로맨스,12세관람가,2004
116,몬스터,팻티 젠킨스,무비즈엔터테인먼트㈜,2004.6.18,독일,0,0,"92,535",드라마,18세관람가,2004
117,블러디 선데이,폴 그린그래스,㈜영화사 백두대간,2004.6.18,영국,0,0,"7,996",드라마,12세관람가,2004
118,슈렉2,"캘리 애스버리,앤드류 아담슨,콘래드 베논",CJ ENM,2004.6.18,미국,0,0,"3,300,533",애니메이션,전체관람가,2004
119,차례로 익사시키기,피터 그리너웨이,(주)동숭아트센터,2004.6.19,영국,0,0,"1,895",코미디,18세관람가,2004
120,나두야 간다,정연원,롯데쇼핑㈜롯데시네마,2004.6.25,한국,0,0,"342,300",코미디,15세관람가,2004
121,대단한 유혹,장 프랑소아 풀리오,필름뱅크(주),2004.6.25,캐나다,0,0,"25,171",코미디,전체관람가,2004
122,소녀 검객 아즈미 대혈전,기타무라 류헤이,(주)스폰지이엔티,2004.6.25,일본,0,0,709,액션,18세관람가,2004
123,스타쉽 트루퍼스2,필 티페트,콜럼비아트라이스타,2004.6.25,미국,0,0,"1,023",SF,18세관람가,2004
124,아는 여자,장진,(주)시네마서비스,2004.6.25,한국,0,0,"838,000",드라마,15세관람가,2004
125,음양사2,타키타 요지로,(주)아펙스 엔터테인먼트,2004.6.25,일본,0,0,"10,362",사극,15세관람가,2004
126,스파이더맨 2,샘 레이미,한국소니픽쳐스릴리징브에나비스타영화㈜,2004.6.30,미국,0,0,"2,367,704",SF,12세관람가,2004
127,인어 공주,박흥식,CJ ENM,2004.6.30,한국,0,0,"661,679",드라마,전체관람가,2004
128,무간도3 - 종극무간,"유위강,맥조휘",이십세기폭스코리아(주),2004.7.2,홍콩,0,0,0,드라마,18세관람가,2004
129,"달마야, 서울 가자",육상효,(주)시네마서비스,2004.7.9,한국,0,0,"1,272,000",코미디,15세관람가,2004
130,착신아리,미이케 다카시,(주)쇼박스,2004.7.9,일본,0,0,"502,036",공포(호러),15세관람가,2004
131,천년여우,곤 사토시,무비즈엔터테인먼트㈜,2004.7.9,일본,0,0,"6,028",스릴러,12세관람가,2004
132,투 가이즈,박헌수,쇼이스트(주),2004.7.9,한국,0,0,"931,000",코미디,15세관람가,2004
133,내 남자의 로맨스,박제현,CJ ENM,2004.7.16,한국,0,0,"1,083,556",드라마,12세관람가,2004
134,해리포터와 아즈카반의 죄수,알폰소 쿠아론,워너브러더스 코리아(주),2004.7.16,미국,0,0,"2,532,000",드라마,전체관람가,2004
135,그놈은 멋있었다,이환경,프라임픽쳐스,2004.7.22,한국,0,0,"800,000",코미디,15세관람가,2004
136,늑대의 유혹,김태균,(주)쇼박스,2004.7.22,한국,0,0,"2,189,453",드라마,12세관람가,2004
137,화씨 911,마이클 무어,스튜디오플러스(주),2004.7.22,미국,0,0,"459,404",다큐멘터리,15세관람가,2004
138,돌려차기,남상국,(주)시네마서비스,2004.7.23,한국,0,0,"69,000",코미디,12세관람가,2004
139,킹 아더,안톤 후쿠아,한국소니픽쳐스릴리징브에나비스타영화㈜,2004.7.23,미국,0,0,"1,213,584",사극,15세관람가,2004
140,날으는 돼지 - 해적 마테오,송근식,에이아이씨코리아(AIC KOREA),2004.7.24,한국,0,0,"125,000",애니메이션,전체관람가,2004
141,누구나 비밀은 있다,장현수,(주)시네마서비스,2004.7.30,한국,0,0,"896,000",코미디,18세관람가,2004
142,반 헬싱,스티븐 소머즈,(주)스튜디오이쩜영,2004.7.30,미국,0,0,"1,631,359",액션,15세관람가,2004
143,"아이, 로봇",알렉스 프로야스,이십세기폭스필름코퍼레이션,2004.7.30,미국,0,0,"1,777,470",SF,12세관람가,2004
144,인형사,정용기,롯데쇼핑㈜롯데시네마,2004.7.30,한국,0,0,"339,038",공포(호러),15세관람가,2004
145,취한 말들을 위한 시간,바흐만 고바디,㈜영화사 백두대간,2004.7.30,이란,0,0,"12,099",드라마,전체관람가,2004
