■ 개봉일람_연도별,,,,,,,,,,,,,,,,,
- 조회일: 2021-11-05,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간 : 2004~2020???국적 : 전체???영화명 : 전체???개봉일 : 2004-01-01~2020-12-31???영화구분 : 전체???영화유형 : 개봉영화??? ],,,,,,,,,,,,,,,,,
<,,,,,,,,,,,,,,,,,
순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국,전국,전국,서울,서울,장르,등급,영화구분
,,,,,,,,,,스크린수,매출액,관객수,매출액,관객수,,,
48,어디선가 누군가에 무슨일이 생기면 틀림없이 나타난다 홍반장,강석범,㈜제니스엔터테인먼트,,(주)시네마서비스,2004-03-12,개봉영화,장편,한국,0,0,"830,000",0,"341,000",코미디,12세관람가,일반영화
49,헌티드,윌리엄 프리드킨,알파빌필름즈,몽타쥬엔터테인먼트(주),(주)튜브엔터테인먼트,2004-03-12,개봉영화,장편,미국,0,0,"81,973",0,"39,535",액션,18세관람가,일반영화
50,고독이 몸부림칠 때,이수인,(주)마술피리,,"(주)쇼박스,영화사풍년상회(주)",2004-03-19,개봉영화,장편,한국,0,0,"34,349",0,"13,459",코미디,15세관람가,일반영화
51,내 생애 최고의 데이트,로버트 루케틱,드림웍스픽쳐스,CJ ENM,CJ ENM,2004-03-19,개봉영화,장편,미국,0,0,"59,652",0,"35,571",멜로/로맨스,12세관람가,일반영화
52,모나리자 스마일,마이크 뉴웰,레볼루션 스튜디오,콜럼비아트라이스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2004-03-19,개봉영화,장편,미국,0,0,"120,995",0,"68,251",드라마,12세관람가,일반영화
53,송환,김동원,푸른영상,,㈜인디스토리,2004-03-19,개봉영화,장편,한국,0,0,"23,496",0,"19,284",다큐멘터리,12세관람가,독립/예술영화
54,씬,브라이언 헬겔랜드,,이십세기폭스필름코퍼레이션,이십세기폭스필름코퍼레이션,2004-03-19,개봉영화,장편,미국,0,0,590,0,530,공포(호러),15세관람가,일반영화
55,히달고,조 존스톤,터치스톤 픽처스,월트디즈니컴퍼니코리아(주),한국소니픽쳐스릴리징브에나비스타영화㈜,2004-03-19,개봉영화,장편,미국,0,0,"121,578",0,"55,063",액션,12세관람가,일반영화
56,못말리는 이혼녀,레지날드 허들린,"만달레이 픽쳐스,케이시 미디엔 에이지",코리아픽쳐스(주),코리아픽쳐스(주),2004-03-25,개봉영화,장편,독일,0,0,163,0,163,코미디,15세관람가,일반영화
57,맹부삼천지교,김지영,코리아 엔터테인먼트,,CJ ENM,2004-03-26,개봉영화,장편,한국,0,0,"860,044",0,"227,675",코미디,15세관람가,일반영화
58,스나이퍼 2,크레이그 R. 백슬리,"콜럼비아 픽쳐스 코포레이션,스크린 겜즈",콜럼비아트라이스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2004-03-26,개봉영화,장편,미국,0,0,64,0,64,액션,12세관람가,일반영화
59,아메리칸 러브홀릭,마이클 데이비스,드림 엔터테인먼트,에이펙스엔터테인먼트,에이펙스엔터테인먼트,2004-03-26,개봉영화,장편,미국,0,0,"9,321",0,182,멜로/로맨스,18세관람가,일반영화
60,아홉살 인생,윤인호,"(주)황기성 사단,(주)조이슈즈",,(주)시네마서비스,2004-03-26,개봉영화,장편,한국,0,0,"352,182",0,"129,800",드라마,전체관람가,독립/예술영화
61,허니,빌 우드러프,유니버셜 픽쳐스,UIP코리아,UIP코리아,2004-03-26,개봉영화,장편,미국,0,0,"100,000",0,"47,300",드라마,15세관람가,일반영화
62,마지막 늑대,구자홍,제네시스픽쳐스(주),,"(주)쇼박스,영화사풍년상회(주)",2004-04-01,개봉영화,장편,한국,0,0,"158,727",0,"51,624",코미디,15세관람가,일반영화
63,고티카,마티유 카소비츠,"다크 캐슬 엔터테인먼트,워너 브러더스 픽쳐스,콜럼비아트라이스타영화㈜",콜럼비아 픽쳐스 코포레이션,한국소니픽쳐스릴리징브에나비스타영화㈜,2004-04-02,개봉영화,장편,미국,0,0,"90,062",0,"40,212",공포(호러),15세관람가,일반영화
64,어린 신부,김호준,(주)컬처캡미디어,,코리아픽쳐스(주),2004-04-02,개봉영화,장편,한국,0,0,"3,149,500",0,"876,600",코미디,12세관람가,일반영화
65,패션 오브 크라이스트,멜 깁슨,아이콘프로덕션,"(주)우성엔터테인먼트,이십세기폭스필름코퍼레이션","(주)이수C&E,이십세기폭스필름코퍼레이션",2004-04-02,개봉영화,장편,미국,0,0,"2,523,700",0,"940,230",드라마,15세관람가,일반영화
66,폴리와 함께,존 햄버그,,UIP코리아,UIP코리아,2004-04-02,개봉영화,장편,미국,0,0,"170,000",0,"98,013",멜로/로맨스,15세관람가,일반영화
67,프리키 프라이데이,마크 S. 워터스,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2004-04-02,개봉영화,장편,미국,0,0,"9,815",0,"3,145",코미디,전체관람가,일반영화
68,바람의 전설,박정우,필름매니아(주),,(주)시네마서비스,2004-04-09,개봉영화,장편,한국,0,0,"266,000",0,"112,463",드라마,15세관람가,일반영화
69,배틀로얄 2 - 레퀴엠,"후카사쿠 킨지,후카사쿠 켄타",,(주)동아수출공사,(주)동아수출공사,2004-04-09,개봉영화,장편,일본,0,0,"20,488",0,"5,955",액션,15세관람가,일반영화
70,연애사진,츠츠미 유키히코,쇼지쿠 컴퍼니,(주)스폰지이엔티,(주)스폰지이엔티,2004-04-09,개봉영화,장편,일본,0,0,"12,981",0,"6,959",드라마,15세관람가,일반영화
71,저지 걸,케빈 스미스,,유니코리아문예투자(주),CJ ENM,2004-04-09,개봉영화,장편,미국,0,0,"184,049",0,"90,002",멜로/로맨스,12세관람가,일반영화
72,판타스틱 플래닛,르네 랄루,,㈜영화사 백두대간,㈜영화사 백두대간,2004-04-09,개봉영화,장편,프랑스,0,0,"10,306",0,"8,121",애니메이션,12세관람가,독립/예술영화
73,범죄의 재구성,최동훈,(주)싸이더스,,(주)쇼박스,2004-04-15,개봉영화,장편,한국,0,0,"2,129,358",0,"776,898",스릴러,18세관람가,일반영화
74,첫키스만 50번째,피터 시걸,콜럼비아 픽쳐스 필름 프로덕션,"알토미디어(주),콜럼비아트라이스타영화㈜","팝엔터테인먼트,한국소니픽쳐스릴리징브에나비스타영화㈜",2004-04-15,개봉영화,장편,미국,0,0,"293,376",0,"148,218",코미디,"15세관람가,15세이상관람가",독립/예술영화
75,테이킹 라이브즈,D.J. 카루소,워너브러더스사㈜,워너브러더스 코리아(주),워너브러더스 코리아(주),2004-04-15,개봉영화,장편,미국,0,0,"135,470",0,"56,728",스릴러,18세관람가,일반영화
76,헌티드 맨션,롭 민코프,월트디즈니컴퍼니코리아(주),월트 디즈니 픽쳐스,한국소니픽쳐스릴리징브에나비스타영화㈜,2004-04-15,개봉영화,장편,미국,0,0,"28,611",0,"9,790",코미디,전체관람가,일반영화
77,네드 켈리,그레고 조단,"AFC(Australian Film Commission),스튜디오 카날,더 오스 그룹,워킹 타이틀 필름",UIP코리아,UIP코리아,2004-04-16,개봉영화,장편,호주,0,0,"3,000",0,813,드라마,15세관람가,일반영화
78,강령,구로사와 기요시,,(주)미로비젼,(주)미로비젼,2004-04-23,개봉영화,장편,일본,0,0,429,0,429,공포(호러),15세관람가,독립/예술영화
79,고하토,오시마 나기사,"오시마 프로덕션즈,카도카와 쇼튼 퍼블리싱,이마지카 코퍼레이션",제이넷이미지(주),(주)오시네마,2004-04-23,개봉영화,장편,일본,0,0,"8,789",0,"4,235",드라마,15세관람가,독립/예술영화
80,더티 댄싱 - 하바나 나이트,가이 퍼랜드,"라이온스 게이트 필름즈,미라맥스 필름즈",(주)서머스엔터테인먼트,아우라엔터테인먼트,2004-04-23,개봉영화,장편,미국,0,0,"58,385",0,"14,026",멜로/로맨스,15세관람가,일반영화
81,라이어,김경형,씨앤필름(주),,CJ ENM,2004-04-23,개봉영화,장편,한국,0,0,"220,531",0,"65,843",코미디,18세관람가,일반영화
82,밝은 미래,구로사와 기요시,,(주)미로비젼,(주)미로비젼,2004-04-23,개봉영화,장편,일본,0,0,"1,228",0,"1,228",드라마,12세관람가,독립/예술영화
83,블라인드 호라이즌,마이클 하우스만,,(주)그림상자,(주)그림상자,2004-04-23,개봉영화,장편,미국,0,0,105,0,105,스릴러,15세관람가,일반영화
84,오토기리소우,시모야마 텐,,(주)창엔터테인먼트,무비즈엔터테인먼트㈜,2004-04-23,개봉영화,장편,일본,0,0,"20,199",0,"1,123",공포(호러),15세관람가,일반영화
85,콰이어트 아메리칸,필립 노이스,미라지 엔터프라이즈,(주)씨네월드,(주)씨네월드,2004-04-23,개봉영화,장편,미국,0,0,113,0,113,전쟁,18세관람가,일반영화
86,투스카니의 태양,오드리 웰스,터치스톤 픽처스,월트디즈니컴퍼니코리아(주),한국소니픽쳐스릴리징브에나비스타영화㈜,2004-04-23,개봉영화,장편,미국,0,0,103,0,103,코미디,15세관람가,일반영화
87,바디 스내치,프랑소와 한스,"시네만 필름,프랑스3시네마,나텍시스 방케 포퓰레어 이마지",(주)그림상자,(주)그림상자,2004-04-30,개봉영화,장편,프랑스,0,0,209,0,208,스릴러,18세관람가,일반영화
88,붉은 다리 아래 따뜻한 물,이마무라 쇼헤이,"카트린 뒤사르 프로덕션,꼼 데 시네마,에이세이 게키요,이마무라프로덕션,니카추",(주)동숭아트센터,(주)동숭아트센터,2004-04-30,개봉영화,장편,일본,0,0,"3,514",0,"3,287",드라마,18세관람가,독립/예술영화
89,스쿠비-두2 : 몬스터 대소동,라자 고스넬,워너브러더스사㈜,워너브러더스 코리아(주),워너브러더스 코리아(주),2004-04-30,개봉영화,장편,미국,0,0,"65,610",0,"21,000",코미디,전체관람가,일반영화
90,스타스키와 허치,토드 필립스,"디멘션 필름즈,워너 브러더스 픽쳐스",한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2004-04-30,개봉영화,장편,미국,0,0,"35,908",0,"21,503",액션,12세관람가,일반영화
91,아라한 장풍대작전,류승완,(주)싸이더스,,(주)시네마서비스,2004-04-30,개봉영화,장편,한국,0,0,"2,050,000",0,"756,000",액션,12세관람가,일반영화
92,엄마는 여자를 좋아해,"다니엘라 페허만,이네스 파리스",,,판씨네마(주),2004-04-30,개봉영화,장편,스페인,0,0,"7,411",0,"3,928",코미디,15세관람가,독립/예술영화
93,인 더 컷,제인 캠피온,"Pathe Cinema,레드 터틀",㈜필름지,CJ ENM,2004-04-30,개봉영화,장편,미국,0,0,"66,524",0,"30,945",스릴러,18세관람가,일반영화
94,천공의 성 라퓨타,미야자키 하야오,지브리 스튜디오,대원미디어(주),대원미디어(주),2004-04-30,개봉영화,장편,일본,0,0,"49,052",0,"22,005",애니메이션,전체관람가,일반영화
95,여자는 남자의 미래다,홍상수,"미라신코리아(주),유니코리아문예투자(주)",,CJ ENM,2004-05-05,개봉영화,장편,한국,0,0,"284,872",0,"134,317",드라마,18세관람가,독립/예술영화
96,효자동 이발사,임찬상,영화사청어람(주),,(주)쇼박스,2004-05-05,개봉영화,장편,한국,0,0,"1,972,377",0,"661,957",드라마,15세관람가,일반영화
97,막달레나 시스터즈,피터 뮬란,필름카운실,(주)인피니티엔터테인먼트,(주)인피니티엔터테인먼트,2004-05-07,개봉영화,장편,잉글랜드,0,0,532,0,532,드라마,18세관람가,독립/예술영화
98,더 블루스-소울 오브 맨,빔 벤더스,"카파 프로덕션,로드 무비 필름프로덕션,불칸 프로덕션",(주)스폰지이엔티,(주)스폰지이엔티,2004-05-14,개봉영화,장편,독일,0,0,"6,834",0,"5,077",드라마,전체관람가,독립/예술영화
99,새벽의 저주,잭 스나이더,유니버셜 픽쳐스,UIP코리아,UIP코리아,2004-05-14,개봉영화,장편,미국,0,0,"300,000",0,"111,126",공포(호러),18세관람가,일반영화
100,킬 빌2,쿠엔틴 타란티노,"미라맥스 필름즈,어맨드어파트",㈜에스앤엠코리아,CJ ENM,2004-05-14,개봉영화,장편,미국,0,0,"274,469",0,"123,193",액션,18세관람가,일반영화
101,콜드 크릭,마이크 피기스,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2004-05-21,개봉영화,장편,미국,0,0,104,0,104,스릴러,15세관람가,일반영화
102,클레멘타인,김두영,펄스타 픽쳐스,,(주)엔터모드,2004-05-21,개봉영화,장편,한국,0,0,"67,000",0,"35,013",액션,15세관람가,일반영화
103,트로이,볼프강 페터젠,"플랜 비 엔터테인먼트,워너 브러더스 픽쳐스",워너브러더스 코리아(주),워너브러더스 코리아(주),2004-05-21,개봉영화,장편,미국,0,0,"3,851,000",0,"1,513,408",사극,15세관람가,일반영화
104,하류인생,임권택,태흥영화(주),,(주)시네마서비스,2004-05-21,개봉영화,장편,한국,0,0,"550,000",0,"196,000",액션,15세관람가,독립/예술영화
105,디 아이2,"대니 팽,옥사이드 팽 천",어플러스엔터테인먼트,미디어필름인터내셔날(주),쇼이스트(주),2004-05-26,개봉영화,장편,홍콩,0,0,"335,000",0,"94,213",공포(호러),15세관람가,일반영화
106,옹박 - 무에타이의 후예,프라챠 핀카엡,사하몽콜 필름 인터내셔널,(주)쇼박스,(주)쇼박스,2004-05-26,개봉영화,장편,태국,0,0,"400,958",0,"109,049",액션,15세관람가,일반영화
107,퍼펙트 블루,곤 사토시,,렉스엔터테인먼트,(주)튜브엔터테인먼트,2004-05-26,개봉영화,장편,일본,0,0,634,0,534,스릴러,18세관람가,독립/예술영화
108,내 여자친구를 소개합니다,곽재용,(주)아이필름홀딩스,,"CJ ENM,아이러브시네마",2004-06-03,개봉영화,장편,한국,0,0,"2,199,359",0,"659,380",멜로/로맨스,15세관람가,일반영화
109,투모로우,롤랜드 에머리히,"센트로폴리스 엔터테인먼트,더 마크 고든 컴퍼니",이십세기폭스필름코퍼레이션,이십세기폭스필름코퍼레이션,2004-06-03,개봉영화,장편,미국,0,0,"3,006,400",0,"959,010",SF,12세관람가,일반영화
110,레이디킬러,"조엘 코엔,에단 코엔",터치스톤 픽처스,월트디즈니컴퍼니코리아(주),한국소니픽쳐스릴리징브에나비스타영화㈜,2004-06-04,개봉영화,장편,미국,0,0,"38,883",0,"32,177",코미디,15세관람가,일반영화
111,완전한 사육 2 - 사랑의 40일,니시야마 요이치,,(주)창엔터테인먼트,(주)창엔터테인먼트,2004-06-04,개봉영화,장편,일본,0,0,161,0,161,범죄,18세관람가,일반영화
112,데스티네이션 2,데이비드 R. 엘리스,"뉴라인 시네마,자이드-페리 프로덕션",(주)나라이필름,UIP코리아,2004-06-11,개봉영화,장편,미국,0,0,"137,000",0,"63,681",공포(호러),18세관람가,일반영화
113,메트레스 연인,카시마 츠토무,"쇼치쿠,토호카신사 필름 컴퍼니",미디어소프트,미디어소프트,2004-06-11,개봉영화,장편,일본,0,0,164,0,164,드라마,18세관람가,일반영화
114,페이스,유상곤,(주)태원엔터테인먼트,,(주)시네마서비스,2004-06-11,개봉영화,장편,한국,0,0,"474,000",0,"135,000",공포(호러),15세관람가,일반영화
115,령,"김태경,이인규",㈜팝콘필름,,(주)쇼박스,2004-06-17,개봉영화,장편,한국,0,0,"1,108,769",0,"288,631",공포(호러),12세관람가,일반영화
116,내 남자 친구는 왕자님,마사 쿨리지,"파라마운트 픽쳐스,라이온스 게이트 필름즈",(주)미로비젼,한국소니픽쳐스릴리징브에나비스타영화㈜,2004-06-18,개봉영화,장편,미국,0,0,"72,694",0,"37,958",멜로/로맨스,12세관람가,일반영화
117,몬스터,팻티 젠킨스,,"(주)엔케이컨텐츠,시네마루",무비즈엔터테인먼트㈜,2004-06-18,개봉영화,장편,독일,0,0,"92,535",0,"52,855",드라마,18세관람가,독립/예술영화
118,블러디 선데이,폴 그린그래스,보드스캐넌에이린,,㈜영화사 백두대간,2004-06-18,개봉영화,장편,영국,0,0,"7,996",0,"7,493",드라마,12세관람가,독립/예술영화
119,슈렉2,"캘리 애스버리,앤드류 아담슨,콘래드 베논",드림웍스픽쳐스,CJ ENM,CJ ENM,2004-06-18,개봉영화,장편,미국,0,0,"3,300,533",0,"1,285,594",애니메이션,전체관람가,일반영화
120,차례로 익사시키기,피터 그리너웨이,채널4필름,(주)동숭아트센터,(주)동숭아트센터,2004-06-19,개봉영화,장편,영국,0,0,"1,895",0,"1,895",코미디,18세관람가,독립/예술영화
